Titre;Montants M€
Construction;33
Santé humaine et action sociale;36
Activités financières et d'assurance;44
Enseignement;70
Activités immobilières;83
Industrie manufacturière;86
Autres activités de services;133
Transports et entreposage;233
Information et communication;290
Arts, spectacles et activités récréatives;419
Activités de services administratifs et de soutien;425
Activités spécialisées, scientifiques et techniques;555
Commerce;563
Hébergement et restauration;1650
