75101;75102;75103;75104;75105;75106;75107;75108;75109;75110;75111;75112;75113;75114;75115;75116;75117;75118;75119;75120;91027;91326;91432;91479;91589;91687;92002;92004;92007;92009;92012;92014;92019;92020;92022;92023;92024;92025;92026;92032;92033;92035;92036;92040;92044;92046;92047;92048;92049;92050;92051;92060;92062;92063;92064;92071;92072;92073;92075;92076;92077;92078;93001;93005;93006;93007;93008;93010;93013;93014;93015;93027;93029;93030;93031;93032;93033;93039;93045;93046;93047;93048;93049;93050;93051;93053;93055;93057;93059;93061;93062;93063;93064;93066;93070;93071;93072;93073;93074;93077;93078;93079;94001;94002;94003;94004;94011;94015;94016;94017;94018;94019;94021;94022;94028;94033;94034;94037;94038;94041;94042;94043;94044;94046;94047;94048;94052;94053;94054;94055;94056;94058;94059;94060;94065;94067;94068;94069;94070;94071;94073;94074;94075;94076;94077;94078;94079;94080;94081;95018
0,8;2,8;1,9;1,3;-0,3;-4,0;-1,8;-1,0;0,5;-0,1;-2,9;-1,3;-1,3;-1,4;2,5;-0,1;0,0;-3,8;-3,1;-2,0;-3,4;2,7;4,7;-6,6;5,2;-5,7;-1,6;0,0;-5,7;-1,0;-2,1;5,7;-2,0;2,9;-2,2;-0,7;3,0;-2,0;7,5;-8,7;1,4;-0,5;0,7;1,7;1,0;-4,9;2,2;4,2;-0,1;-1,5;-4,9;1,2;5,2;1,9;-6,0;-3,1;2,4;-0,2;-1,1;-7,9;5,0;2,0;-1,9;-4,8;4,9;0,4;0,3;-2,9;-8,2;-1,6;1,3;-2,2;-1,3;2,0;-3,5;0,6;11,1;-6,0;1,5;2,8;6,2;-1,8;-1,1;3,0;-1,3;-0,6;3,0;-2,5;-2,4;1,2;-6,1;4,4;3,8;-1,9;-1,9;-4,5;1,1;-0,9;-0,7;1,3;4,1;-5,3;-5,2;-2,3;1,0;-9,2;0,5;5,3;-1,0;-0,3;-4,7;-2,8;0,8;-1,2;1,2;-0,6;1,9;-0,1;2,3;0,7;-0,9;4,2;-2,0;0,0;-8,9;-15,6;2,1;4,7;-5,2;4,3;3,7;5,1;2,8;5,6;-6,2;-4,5;-0,2;-1,0;-12,9;-4,3;-1,6;-6,0;-10,5;1,1;-7,9;-5,1;4,1;3,1;-1,1;-4,8
