Titre﻿;2019;2020;Evolution
Janvier;662 553 009 ;834 156 894 ;25,90
Février;67 689 536 ;98 166 807 ;45,03
Mars;69 686 907 ;81 718 757 ;17,27
Avril;640 672 792 ;653 169 940 ;1,95
Mai;78 928 622 ;54 340 149 ;-31,15
Juin;79 310 901 ;70 022 785 ;-11,71
Juillet;719 477 444 ;589 731 093 ;-18,03
Août;83 391 686 ;98 515 588 ;18,14
Septembre;58 467 872 ;74 917 666 ;28,13
Octobre;686 717 907 ;661 393 740 ;-3,69
Novembre;92 803 386 ;102 198 972 ;10,12
Décembre;94 319 617 ;89 962 786 ;-4,62
