;2019;2020;2021;2022
janv;640;605;441;270
févr;641;573;337;467
mars;632;405;443;514
avr;639;185;283;459
mai;716;202;378;379
juin;689;377;395;489
juil;435;355;302;344
août;288;168;111;
sept;694;577;401;
oct;787;503;380;
nov;648;485;406;
déc;573;380;373;
