;2019;2022;2023;2024;2025;
janv;62,4;35,9;57,3;56,8;54,9
févr;64,3;43;56,2;55,5;55,6
mars;68,2;56,5;64,1;66,5;61,2
avril;77,4;62,6;71,6;66;71,8
mai;70,3;68,4;69,7;67,5;71,0
juin;86,6;79,4;83,5;69,9;80,8
juil;76,3;71,1;69,7;64,5;66,8
août;62,6;56,6;56,3;59;53,5
sept;81,6;76,4;72,8;73,5;74,2
oct;79,5;78,4;71,6;72,5;74,6
nov;73,3;66,1;66,1;64,6;
déc;64,9;62;58,5;59,5;
