Titre;2019;2020;2021;2022;2023
janv;68,6;74,5;13,2;34,7;70
févr;70,5;71,2;13,9;50,5
mars;78,3;21,1;13,6;69,8
avr;84,7;1,1;11,4;79,9
mai;80,8;1,9;16,4;81,5
juin;92,1;7,9;27,7;88,6
juil;85,7;17,4;37,3;85,4
août;76,8;18,4;39;76,1
sept;88,6;22,6;55,9;86,4
oct;87,5;18,6;68,4;88,7
nov;83,4;8,2;64,6;79,2
déc;70,4;11,7;56;76,1
