Titre;2019;2020;2021;2022;2023;2024
janv;269;254;195;154;242;402
févr;267;265;192;219;290;418
mars;276;140;190;216;403
avr;228;123;125;216;288
mai;311;85;178;184;272
juin;297;124;170;229;370
juil;204;171;108;175;222
août;137;103;71;134;140
sept;289;248;181;285;309
oct;343;276;202;260;390
nov;287;241;175;279;338
déc;215;178;165;232;316

